"","overall","age","wage_eur","international_reputation","is_sub","Top_Club","value_eur","height_cm","weight_kg","release_clause_eur"
"978",55,19,1000,1,1,"other",170000,185,75,353000
"979",72,19,31000,1,1,"Top_20",6e+06,175,71,15200000
"980",71,28,6000,1,0,"other",2e+06,181,73,3600000
"981",62,29,2000,1,1,"other",250000,191,86,375000
"982",59,20,4000,1,1,"other",325000,178,65,821000
"983",69,29,0,1,0,"other",0,170,68,0
"984",62,21,1000,1,1,"other",475000,186,80,0
"985",55,17,1000,1,1,"other",160000,168,65,3e+05
"986",52,18,1000,1,1,"other",110000,187,72,303000
"987",56,26,3000,1,0,"other",110000,185,87,179000
"988",71,25,9000,1,0,"other",2700000,189,85,4300000
"989",52,18,1000,1,1,"other",1e+05,180,71,208000
"990",58,17,1000,1,1,"other",250000,172,70,656000
"991",74,22,37000,1,1,"other",9500000,177,70,18100000
"992",59,19,2000,1,1,"other",325000,178,66,853000
"993",73,31,17000,1,1,"other",3e+06,186,78,6200000
"994",69,26,10000,1,1,"other",1200000,180,75,1700000
"995",65,25,3000,1,0,"other",675000,175,68,1e+06
"996",71,26,7000,1,0,"other",2400000,178,65,3400000
"997",70,24,4000,1,0,"other",2400000,168,84,4100000
"998",69,23,7000,1,0,"other",1300000,180,73,2200000
"999",60,20,1000,1,1,"other",325000,174,70,569000
"1000",53,17,1000,1,1,"other",110000,169,70,272000
"1001",72,27,7000,1,1,"other",3300000,171,73,4900000
"1002",56,19,2000,1,1,"other",140000,179,66,266000
"1003",73,28,18000,1,0,"other",3400000,183,70,0
"1004",61,22,1000,1,0,"other",350000,169,62,543000
"1005",66,28,2000,1,0,"other",650000,193,85,861000
"1006",66,20,4000,1,1,"other",1400000,183,77,3300000
"1007",72,25,17000,1,1,"other",4200000,186,80,9100000
"1008",65,27,1000,1,0,"other",575000,185,84,719000
"1009",71,26,8000,1,0,"other",2600000,171,64,5500000
"1010",63,25,1000,1,1,"other",450000,180,75,596000
"1011",50,19,1000,1,1,"other",50000,181,74,88000
"1012",69,25,0,1,0,"other",0,185,72,0
"1013",58,20,8000,1,1,"other",250000,178,63,631000
"1014",60,25,1000,1,1,"other",260000,188,74,403000
"1015",76,27,9000,2,0,"other",8e+06,180,79,0
"1016",55,20,1000,1,1,"other",120000,172,64,174000
"1017",65,23,2000,1,1,"other",775000,180,73,0
"1018",78,28,47000,1,0,"other",10500000,190,78,17900000
"1019",67,30,5000,1,0,"other",725000,172,68,906000
"1020",60,25,1000,1,1,"other",220000,175,70,0
"1021",70,28,4000,1,0,"other",1800000,171,63,2200000
"1022",54,22,1000,1,1,"other",120000,189,73,198000
"1023",73,26,5000,1,1,"other",4400000,192,83,9600000
"1024",72,27,11000,1,0,"other",3300000,172,66,6300000
"1025",75,33,5000,2,1,"other",3900000,178,72,5500000
"1026",64,25,3000,1,1,"other",525000,181,77,696000
"1027",73,23,19000,1,1,"other",5500000,184,80,9800000
"1028",59,25,2000,1,1,"other",210000,179,76,383000
"1029",57,24,1000,1,1,"other",130000,195,80,215000
"1030",63,23,1000,1,1,"other",5e+05,175,70,875000
"1031",71,21,5000,1,0,"other",4100000,173,67,8600000
"1032",67,30,2000,1,0,"other",625000,186,82,781000
"1033",70,35,6000,1,0,"other",5e+05,178,77,950000
"1034",59,19,4000,1,1,"other",250000,190,80,475000
"1035",72,27,9000,1,0,"other",3100000,177,73,4900000
"1036",66,31,7000,1,1,"other",475000,178,73,950000
"1037",57,19,5000,1,1,"other",220000,179,68,556000
"1038",71,33,6000,2,0,"other",1400000,185,77,2200000
"1039",73,25,1000,1,1,"other",4800000,188,83,10300000
"1040",68,27,7000,1,0,"other",1e+06,197,86,2100000
"1041",66,26,5000,1,0,"other",725000,181,79,1200000
"1042",72,26,8000,1,1,"other",3700000,177,69,7900000
"1043",65,21,3000,1,0,"other",750000,180,65,0
"1044",66,26,2000,1,0,"other",725000,181,77,1300000
"1045",76,30,34000,2,1,"other",6e+06,190,83,11400000
"1046",74,21,10000,1,1,"other",7500000,171,64,0
"1047",63,20,2000,1,1,"other",650000,191,83,1300000
"1048",68,30,6000,1,0,"other",7e+05,180,72,1100000
"1049",65,21,2000,1,1,"other",7e+05,191,79,1200000
"1050",63,23,5000,1,1,"other",575000,179,68,1300000
"1051",70,26,0,1,0,"other",0,190,87,0
"1052",64,34,2000,1,1,"other",170000,183,77,213000
"1053",79,33,64000,1,0,"other",5500000,177,69,10500000
"1054",76,27,13000,1,0,"other",7e+06,177,78,13300000
"1055",67,27,3000,1,0,"other",875000,175,70,1300000
"1056",74,20,32000,1,1,"Top_30",1e+07,184,75,1.9e+07
"1057",71,24,8000,1,1,"other",3200000,183,80,5400000
"1058",56,21,3000,1,1,"other",170000,173,74,395000
"1059",71,21,4000,1,0,"other",3700000,174,62,7200000
"1060",69,19,8000,1,1,"other",1800000,182,81,3800000
"1061",67,28,2000,1,0,"other",750000,185,76,1400000
"1062",66,25,2000,1,0,"other",725000,189,82,1100000
"1063",80,28,78000,2,0,"other",1.5e+07,182,77,28500000
"1064",66,23,7000,1,1,"other",925000,180,73,1900000
"1065",73,26,8000,1,0,"other",4600000,189,80,0
"1066",61,26,2000,1,1,"other",3e+05,178,73,488000
"1067",72,29,7000,1,0,"other",2900000,185,83,5400000
"1068",57,22,1000,1,0,"other",140000,176,67,217000
"1069",59,33,2000,1,1,"other",70000,180,70,109000
"1070",67,31,2000,1,1,"other",575000,178,74,834000
"1071",74,21,36000,1,1,"Top_20",9e+06,184,75,18900000
"1072",68,28,2000,1,0,"other",9e+05,190,80,1300000
"1073",62,23,2000,1,1,"other",350000,178,74,639000
"1074",61,30,4000,1,1,"other",2e+05,173,69,4e+05
"1075",64,25,6000,1,1,"other",6e+05,177,75,1100000
"1076",70,27,6000,1,0,"other",1800000,179,72,2700000
"1077",70,28,5000,1,1,"other",1800000,171,68,2600000
"1078",56,20,1000,1,0,"other",180000,186,75,0
"1079",65,25,3000,1,0,"other",675000,183,77,1500000
"1080",72,26,5000,1,1,"other",3900000,190,75,6600000
"1081",63,21,3000,1,1,"other",525000,194,85,761000
"1082",62,24,4000,1,0,"other",4e+05,196,85,730000
"1083",77,23,48000,1,0,"other",11500000,168,62,0
"1084",56,24,3000,1,1,"other",120000,172,65,207000
"1085",60,19,1000,1,0,"other",450000,178,79,1100000
"1086",48,18,1000,1,1,"other",60000,183,66,143000
"1087",58,18,1000,1,1,"other",260000,172,66,514000
"1088",71,30,9000,1,0,"other",1900000,193,82,3800000
"1089",65,22,14000,1,1,"other",925000,173,76,1900000
"1090",71,25,8000,1,0,"other",2800000,180,70,4500000
"1091",62,20,7000,1,1,"Top_20",675000,182,70,1700000
"1092",70,24,11000,1,1,"other",2200000,183,75,0
"1093",67,32,3000,1,0,"other",6e+05,183,77,1300000
"1094",71,34,3000,1,0,"other",825000,175,79,1200000
"1095",73,27,25000,1,0,"other",4600000,188,87,7e+06
"1096",70,25,11000,1,1,"other",2e+06,173,70,4200000
"1097",60,19,1000,1,1,"other",4e+05,170,60,850000
"1098",70,23,5000,1,1,"other",2600000,178,70,0
"1099",58,22,2000,1,1,"other",180000,194,78,324000
"1100",83,26,89000,2,0,"other",3.2e+07,180,66,63200000
"1101",66,33,4000,1,1,"other",3e+05,180,74,525000
"1102",73,22,25000,1,0,"other",5500000,184,73,10500000
"1103",74,25,20000,1,1,"other",7e+06,184,75,15200000
"1104",79,29,87000,3,1,"other",12500000,190,83,23800000
"1105",69,25,6000,1,1,"other",1300000,181,74,2500000
"1106",64,20,1000,1,0,"other",675000,196,73,1300000
"1107",48,18,1000,1,1,"other",50000,178,69,114000
"1108",60,19,1000,1,1,"other",375000,174,71,797000
"1109",59,32,1000,1,1,"other",120000,184,78,150000
"1110",64,22,1000,1,1,"other",725000,172,69,1300000
"1111",66,22,3000,1,1,"other",925000,184,78,1500000
"1112",66,24,4000,1,1,"other",750000,190,90,1200000
"1113",70,29,6000,1,0,"other",1500000,185,83,2400000
"1114",65,23,2000,1,0,"other",8e+05,185,74,1400000
"1115",64,32,1000,1,1,"other",350000,183,78,543000
"1116",68,26,4000,1,0,"other",1100000,185,79,1900000
"1117",63,20,2000,1,1,"other",750000,180,79,1700000
"1118",75,28,1000,1,0,"other",6e+06,185,79,13200000
"1119",66,21,2000,1,1,"other",1100000,180,77,0
"1120",71,35,8000,1,1,"other",1100000,186,82,2100000
"1121",53,17,1000,1,1,"other",130000,162,60,358000
"1122",78,24,37000,2,1,"Top_20",1.4e+07,186,80,26600000
"1123",60,37,1000,1,1,"other",40000,180,77,52000
"1124",66,22,4000,1,1,"other",8e+05,185,89,1400000
"1125",60,23,1000,1,0,"other",270000,188,83,419000
"1126",60,26,3000,1,1,"other",240000,177,75,366000
"1127",67,32,4000,1,1,"other",475000,182,78,713000
"1128",70,39,0,2,0,"other",0,191,89,0
"1129",62,30,0,1,0,"other",0,188,84,0
"1130",73,20,1000,1,0,"other",6500000,178,72,1.5e+07
"1131",65,32,2000,1,1,"other",425000,181,75,574000
"1132",58,22,2000,1,1,"other",180000,178,70,297000
"1133",64,24,2000,1,1,"other",525000,189,70,801000
"1134",65,27,1000,1,0,"other",575000,191,76,891000
"1135",65,32,1000,1,1,"other",325000,180,71,406000
"1136",64,29,2000,1,1,"other",375000,174,68,488000
"1137",59,25,1000,1,0,"other",190000,177,74,252000
"1138",56,23,2000,1,1,"other",110000,180,74,193000
"1139",58,19,1000,1,0,"other",2e+05,177,73,290000
"1140",65,26,1000,1,1,"other",625000,176,67,1e+06
"1141",68,23,6000,1,1,"other",1200000,170,74,2100000
"1142",66,29,2000,1,1,"other",650000,181,77,813000
"1143",83,26,80000,3,0,"Top_10",3.2e+07,189,84,0
"1144",59,18,2000,1,1,"Top_30",350000,179,71,875000
"1145",63,29,1000,1,0,"other",350000,187,77,543000
"1146",67,34,4000,1,0,"other",280000,188,79,490000
"1147",72,26,4000,1,0,"other",3700000,180,71,6200000
"1148",66,34,4000,1,1,"other",250000,180,78,350000
"1149",65,20,3000,1,1,"other",1200000,175,76,2500000
"1150",73,23,18000,1,1,"Top_30",4900000,184,78,0
"1151",61,19,1000,1,0,"other",550000,170,66,1100000
"1152",68,21,5000,1,1,"other",1200000,186,74,2100000
"1153",66,23,1000,1,0,"other",925000,184,78,1400000
"1154",72,31,10000,1,0,"other",2200000,178,72,3300000
"1155",61,25,3000,1,0,"other",3e+05,178,72,623000
"1156",54,26,2000,1,1,"other",90000,187,83,146000
"1157",75,35,18000,2,0,"other",2800000,178,71,6100000
"1158",61,20,1000,1,1,"other",425000,182,68,701000
"1159",66,26,2000,1,0,"other",750000,179,76,1100000
"1160",67,23,7000,1,1,"other",1100000,173,65,0
"1161",58,18,1000,1,1,"other",260000,177,76,683000
"1162",66,32,1000,1,1,"other",425000,183,81,574000
"1163",67,21,4000,1,1,"other",1100000,176,72,1900000
"1164",65,21,5000,1,1,"other",1100000,182,78,3e+06
"1165",58,18,1000,1,1,"other",260000,184,78,579000
"1166",71,30,3000,1,1,"other",1900000,171,75,2600000
"1167",64,23,1000,1,0,"other",575000,180,70,834000
"1168",74,28,21000,1,1,"other",5500000,180,65,11600000
"1169",73,31,20000,1,0,"other",3500000,181,75,7e+06
"1170",64,27,2000,1,0,"other",475000,173,68,689000
"1171",80,22,14000,1,0,"Top_20",18500000,186,82,40700000
"1172",79,24,55000,1,0,"Top_20",15500000,184,80,32600000
"1173",69,19,3000,1,1,"other",1800000,177,68,0
"1174",71,30,5000,1,0,"other",1900000,185,78,2500000
"1175",66,31,4000,1,0,"other",475000,177,74,689000
"1176",72,33,18000,1,0,"other",1900000,188,80,3800000
"1177",61,23,1000,1,0,"other",350000,184,77,508000
"1178",61,21,2000,1,1,"other",350000,191,79,630000
"1179",68,26,6000,1,1,"other",1100000,181,75,1600000
"1180",76,35,0,1,0,"other",0,176,76,0
"1181",67,25,4000,1,1,"other",1e+06,180,74,1700000
"1182",66,31,4000,1,1,"other",475000,183,76,903000
"1183",60,19,1000,1,1,"other",325000,185,80,536000
"1184",73,27,5000,1,1,"other",4600000,179,72,6800000
"1185",57,21,1000,1,1,"other",180000,184,72,351000
"1186",67,22,4000,1,0,"other",1200000,175,75,2300000
"1187",74,25,43000,1,1,"other",6500000,191,87,12800000
"1188",81,26,57000,2,0,"Top_30",1.9e+07,186,83,33700000
"1189",75,30,32000,3,1,"Top_20",5500000,187,76,9400000
"1190",70,28,6000,1,0,"other",1800000,186,86,2800000
"1191",69,28,10000,1,0,"other",1100000,188,86,2e+06
"1192",73,28,26000,2,1,"other",4100000,190,82,8300000
"1193",67,23,5000,1,1,"other",1e+06,186,73,1800000
"1194",56,22,1000,1,1,"other",140000,185,71,0
"1195",62,26,2000,1,1,"other",325000,189,87,496000
"1196",71,27,6000,1,0,"other",2400000,176,68,3900000
"1197",69,19,2000,1,1,"other",2200000,185,75,5300000
"1198",70,26,5000,1,1,"other",2100000,181,73,2900000
"1199",66,22,2000,1,0,"other",850000,192,78,1900000
"1200",62,32,1000,1,1,"other",190000,173,75,238000
"1201",72,31,4000,2,0,"other",2700000,184,75,3300000
"1202",74,21,40000,1,1,"Top_20",9e+06,187,69,18500000
"1203",70,26,0,1,0,"other",0,188,81,0
"1204",73,30,26000,1,1,"other",3200000,173,73,6e+06
"1205",48,16,1000,1,1,"other",50000,186,72,94000
"1206",57,22,1000,1,1,"other",150000,191,85,218000
"1207",70,27,14000,1,0,"other",1900000,181,78,3400000
"1208",78,25,23000,1,0,"other",12500000,183,80,27200000
"1209",70,22,8000,1,0,"other",2700000,180,82,0
"1210",85,28,105000,3,0,"Top_20",37500000,189,83,66600000
"1211",65,25,3000,1,1,"other",625000,181,73,1e+06
"1212",67,38,3000,1,0,"other",260000,170,65,455000
"1213",69,24,1000,1,1,"other",1400000,184,80,3200000
"1214",70,29,5000,1,0,"other",1700000,177,74,3e+06
"1215",67,27,0,2,0,"other",0,186,84,0
"1216",74,25,48000,1,1,"other",7e+06,179,77,0
"1217",65,27,1000,1,1,"other",575000,181,77,1300000
"1218",60,19,1000,1,1,"other",450000,178,68,1300000
"1219",71,30,9000,1,1,"other",2200000,168,73,3300000
"1220",66,20,2000,1,1,"other",1400000,180,75,0
"1221",62,24,5000,1,1,"Top_30",425000,190,81,0
"1222",69,30,10000,1,0,"other",825000,175,73,1600000
"1223",58,25,1000,1,1,"other",170000,194,83,225000
"1224",75,34,48000,2,0,"Top_30",2300000,175,75,4400000
"1225",57,20,1000,1,1,"other",210000,174,60,488000
"1226",60,19,2000,1,1,"other",4e+05,189,82,750000
"1227",70,19,4000,1,1,"Top_20",3800000,180,66,1e+07
"1228",66,20,2000,1,1,"other",1e+06,177,64,1900000
"1229",72,28,3000,1,0,"other",2700000,173,70,3600000
"1230",66,20,3000,1,0,"other",1e+06,183,84,1700000
"1231",71,26,7000,1,0,"other",2800000,170,70,6100000
"1232",65,23,2000,1,0,"other",775000,180,75,1300000
"1233",60,19,1000,1,0,"other",450000,176,75,889000
"1234",68,28,4000,1,0,"other",9e+05,180,80,1300000
"1235",67,19,4000,1,1,"other",1500000,187,80,3500000
"1236",80,26,80000,2,0,"other",16500000,191,82,32600000
"1237",71,32,13000,1,1,"other",1500000,172,64,2500000
"1238",75,34,18000,2,0,"other",3200000,181,75,6500000
"1239",50,18,1000,1,1,"other",50000,178,72,94000
"1240",68,25,3000,1,0,"other",1200000,171,67,2200000
"1241",77,26,60000,2,1,"Top_30",10500000,180,75,20700000
"1242",71,35,12000,1,0,"other",1e+06,181,76,2e+06
"1243",75,33,26000,2,0,"other",4200000,181,72,8400000
"1244",60,20,4000,1,1,"other",450000,179,77,934000
"1245",68,25,8000,1,1,"other",1100000,184,80,1800000
"1246",67,28,3000,1,1,"other",775000,170,64,969000
"1247",72,28,1000,1,1,"other",3200000,181,82,7100000
"1248",76,32,24000,2,0,"other",4800000,181,71,8100000
"1249",69,28,4000,1,0,"other",1100000,185,82,1500000
"1250",70,24,7000,1,1,"other",2100000,184,84,4e+06
"1251",75,30,20000,1,0,"other",6e+06,182,67,7800000
"1252",73,33,22000,1,1,"other",1900000,178,72,4300000
"1253",69,32,8000,1,1,"other",675000,182,82,1e+06
"1254",56,19,1000,1,1,"other",190000,178,70,456000
"1255",72,29,11000,1,0,"other",2600000,176,77,3800000
"1256",70,30,25000,2,0,"other",1400000,175,75,2700000
"1257",66,30,2000,1,0,"other",525000,182,72,656000
"1258",62,20,2000,1,0,"other",450000,195,85,743000
"1259",68,28,4000,1,0,"other",9e+05,180,73,1700000
"1260",60,20,3000,1,1,"other",4e+05,161,59,910000
"1261",56,20,2000,1,1,"other",2e+05,167,61,455000
"1262",68,23,4000,1,1,"other",1200000,190,82,0
"1263",53,18,1000,1,1,"other",120000,178,77,225000
"1264",67,18,6000,1,1,"other",1200000,189,83,2400000
"1265",75,27,29000,1,0,"other",7e+06,187,81,13300000
"1266",81,31,1000,3,0,"other",1.3e+07,188,77,27300000
"1267",72,25,23000,1,1,"other",4e+06,183,65,7900000
"1268",74,30,23000,1,0,"other",4400000,165,64,7600000
"1269",71,21,14000,1,1,"other",3900000,191,72,8200000
"1270",69,30,5000,1,1,"other",1e+06,195,80,1500000
"1271",64,28,1000,1,0,"other",4e+05,177,79,580000
"1272",67,18,1000,1,0,"other",1500000,184,72,2700000
"1273",57,20,2000,1,0,"other",180000,184,78,428000
"1274",66,33,2000,1,1,"other",290000,187,86,450000
"1275",78,31,69000,2,0,"other",9500000,183,90,18100000
"1276",65,23,5000,1,0,"other",750000,175,75,1500000
"1277",78,29,35000,2,0,"other",8500000,193,86,14500000
"1278",70,26,5000,1,0,"other",2e+06,191,80,3300000
"1279",69,24,9000,1,1,"other",1400000,177,64,2600000
"1280",67,29,2000,1,0,"other",725000,186,81,1200000
"1281",62,25,1000,1,1,"other",350000,180,80,499000
"1282",63,19,1000,1,1,"other",650000,176,72,1100000
"1283",59,22,3000,1,1,"other",220000,180,74,429000
"1284",53,18,1000,1,1,"other",120000,169,60,231000
"1285",74,30,20000,1,0,"other",4600000,185,82,7600000
"1286",53,24,2000,1,1,"other",80000,180,70,116000
"1287",60,22,2000,1,1,"other",280000,185,73,0
"1288",66,27,4000,1,1,"other",675000,169,62,844000
"1289",64,20,1000,1,1,"other",725000,182,76,1100000
"1290",60,20,1000,1,1,"other",3e+05,186,78,525000
"1291",73,36,8000,1,0,"other",1300000,184,81,1900000
"1292",65,29,2000,1,1,"other",550000,189,79,743000
"1293",74,35,11000,1,0,"other",2500000,183,79,4700000
"1294",50,18,1000,1,1,"other",60000,185,76,113000
"1295",75,25,16000,1,0,"other",8e+06,188,85,14200000
"1296",81,26,62000,1,0,"other",2.1e+07,197,84,37300000
"1297",66,32,1000,2,0,"other",425000,185,85,531000
"1298",75,25,28000,1,1,"other",8e+06,180,78,16600000
"1299",68,19,1000,1,1,"other",1900000,178,74,4200000
"1300",57,19,2000,1,1,"other",190000,173,74,442000
"1301",61,22,1000,1,1,"other",325000,181,71,569000
"1302",71,31,15000,1,0,"other",2100000,170,67,4200000
"1303",65,30,2000,1,0,"other",5e+05,175,60,875000
"1304",64,21,3000,1,1,"other",625000,180,74,906000
"1305",69,30,18000,1,1,"other",875000,175,76,1700000
"1306",62,20,1000,1,1,"other",425000,169,65,978000
"1307",72,26,6000,1,0,"other",3500000,173,68,5500000
"1308",64,24,9000,1,1,"other",6e+05,183,78,1100000
"1309",56,23,1000,1,1,"other",110000,185,75,146000
"1310",65,31,3000,1,1,"other",475000,175,65,594000
"1311",63,30,3000,1,0,"other",3e+05,185,77,465000
"1312",69,30,4000,1,1,"other",825000,182,82,1500000
"1313",62,22,3000,1,1,"other",450000,179,72,990000
"1314",64,21,3000,1,1,"other",675000,183,78,1200000
"1315",67,27,2000,1,1,"other",825000,190,73,0
"1316",62,21,1000,1,1,"other",450000,184,75,698000
"1317",70,33,15000,1,1,"other",875000,184,81,1600000
"1318",66,20,3000,1,1,"other",975000,180,75,0
"1319",60,18,1000,1,1,"other",425000,178,66,839000
"1320",76,25,13000,2,1,"Top_20",9500000,165,62,19700000
"1321",67,22,2000,1,0,"other",925000,185,78,1400000
"1322",59,19,1000,1,1,"other",260000,177,72,403000
"1323",68,30,1000,1,0,"other",725000,194,80,979000
"1324",66,37,1000,1,0,"other",130000,184,75,163000
"1325",70,27,2000,1,1,"other",1600000,186,75,2500000
"1326",66,29,2000,1,0,"other",625000,168,63,969000
"1327",62,25,1000,1,0,"other",4e+05,190,78,610000
"1328",59,24,2000,1,1,"other",190000,174,71,314000
"1329",67,28,4000,1,1,"other",650000,181,75,910000
"1330",71,27,13000,1,0,"other",2400000,178,74,4300000
"1331",63,33,4000,1,0,"other",170000,183,67,298000
"1332",62,22,2000,1,1,"other",450000,178,70,878000
"1333",66,25,4000,1,1,"other",850000,178,74,1800000
"1334",59,19,5000,1,1,"other",325000,178,70,821000
"1335",72,33,15000,2,0,"other",1900000,176,70,3e+06
"1336",64,29,1000,1,0,"other",425000,184,80,606000
"1337",59,25,1000,1,1,"other",180000,182,79,329000
"1338",72,29,11000,2,0,"other",2600000,187,84,5200000
"1339",71,33,16000,2,1,"other",1500000,183,87,2800000
"1340",79,22,72000,1,0,"other",1.7e+07,181,71,33600000
"1341",72,23,1000,1,0,"other",3800000,175,68,8700000
"1342",61,23,1000,1,1,"other",3e+05,193,85,540000
"1343",69,25,1000,1,0,"other",1200000,170,66,2800000
"1344",61,21,1000,1,1,"other",3e+05,183,73,435000
"1345",58,22,1000,1,1,"other",160000,178,72,312000
"1346",63,22,2000,1,0,"other",575000,174,64,0
"1347",67,24,5000,1,1,"other",975000,184,80,1500000
"1348",64,27,2000,1,1,"other",5e+05,189,74,813000
"1349",62,21,3000,1,0,"other",550000,175,69,935000
"1350",69,28,3000,1,0,"other",1100000,170,69,1700000
"1351",71,33,7000,2,0,"other",1200000,191,84,2200000
"1352",75,23,29000,1,1,"other",9500000,183,76,18100000
"1353",69,27,1000,1,0,"other",1200000,183,80,1700000
"1354",68,30,2000,1,0,"other",825000,175,68,1100000
"1355",69,21,4000,1,0,"other",1500000,174,72,2800000
"1356",64,31,0,1,0,"other",0,178,70,0
"1357",62,20,1000,1,0,"other",575000,189,79,1100000
"1358",59,21,3000,1,1,"other",280000,180,74,546000
"1359",68,26,2000,1,0,"other",1e+06,185,85,1700000
"1360",59,24,2000,1,0,"other",220000,180,71,429000
"1361",63,24,2000,1,1,"other",5e+05,191,82,913000
"1362",62,21,1000,1,1,"other",475000,178,70,0
"1363",67,27,3000,1,0,"other",675000,178,75,1e+06
"1364",72,28,17000,1,0,"other",3e+06,191,85,6300000
"1365",72,23,1000,1,1,"Top_30",4200000,185,76,9600000
"1366",54,18,1000,1,1,"other",120000,166,63,225000
"1367",65,18,1000,1,1,"other",1e+06,187,86,2300000
"1368",66,32,4000,1,1,"other",5e+05,178,72,850000
"1369",65,26,3000,1,1,"other",6e+05,198,94,795000
"1370",67,24,1000,1,0,"other",925000,188,83,1200000
"1371",52,20,1000,1,1,"other",1e+05,175,68,188000
"1372",77,29,53000,1,0,"other",9e+06,180,80,1.8e+07
"1373",52,17,1000,1,1,"other",1e+05,178,68,188000
"1374",49,17,1000,1,1,"other",50000,182,75,138000
"1375",73,32,0,1,0,"other",0,181,81,0
"1376",55,20,4000,1,1,"other",180000,178,66,455000
"1377",71,31,12000,1,0,"other",2100000,178,70,3100000
"1378",61,19,5000,1,1,"Top_20",550000,175,70,1500000
"1379",87,28,140000,3,0,"Top_20",5.2e+07,163,59,88400000
"1380",76,33,51000,1,1,"other",3700000,192,80,7100000
"1381",68,27,5000,1,1,"other",950000,175,73,1400000
"1382",59,20,2000,1,1,"other",240000,170,70,456000
"1383",67,32,4000,1,0,"other",5e+05,185,85,875000
"1384",70,30,7000,1,1,"other",1700000,183,80,2500000
"1385",72,25,17000,1,1,"other",4e+06,172,68,8300000
"1386",57,20,3000,1,1,"other",210000,178,74,478000
"1387",69,30,21000,1,1,"other",1e+06,175,74,1900000
"1388",49,23,1000,1,1,"other",40000,185,74,66000
"1389",60,25,3000,1,1,"other",220000,178,68,380000
"1390",71,27,7000,1,0,"other",2400000,177,69,3200000
"1391",62,36,1000,1,1,"other",1e+05,178,73,175000
"1392",75,34,37000,2,1,"other",3200000,185,75,5800000
"1393",67,26,2000,1,0,"other",850000,176,74,1300000
"1394",63,19,2000,1,0,"other",8e+05,183,75,1500000
"1395",65,20,2000,1,1,"other",1200000,182,73,0
"1396",59,20,2000,1,1,"other",250000,174,69,550000
"1397",52,26,2000,1,1,"other",60000,176,70,98000
"1398",71,30,7000,1,0,"other",1900000,190,87,2800000
"1399",65,26,3000,1,0,"other",650000,190,75,1200000
"1400",59,18,1000,1,1,"other",3e+05,187,77,0
"1401",57,20,1000,1,1,"other",210000,183,67,499000
"1402",58,19,1000,1,1,"other",210000,185,78,347000
"1403",68,26,2000,1,0,"other",1100000,185,78,1500000
"1404",70,29,7000,1,0,"other",1800000,185,79,2800000
"1405",78,27,44000,2,0,"other",10500000,180,77,18600000
"1406",67,23,3000,1,0,"other",1e+06,187,83,1500000
"1407",69,27,4000,1,1,"other",1100000,174,66,2300000
"1408",71,30,13000,1,0,"other",1900000,186,78,3100000
"1409",72,26,1000,1,1,"other",3500000,189,85,8100000
"1410",63,18,1000,1,1,"other",750000,178,71,1600000
"1411",69,24,4000,1,0,"other",1200000,185,87,1900000
"1412",69,23,4000,1,1,"other",1500000,187,72,3400000
"1413",77,20,18000,1,0,"other",1.4e+07,177,66,22400000
"1414",78,26,51000,2,0,"other",1.1e+07,199,98,21700000
"1415",50,18,1000,1,1,"other",70000,172,65,193000
"1416",71,31,7000,1,0,"other",2e+06,172,75,2700000
"1417",71,32,12000,1,1,"other",1500000,186,81,2300000
"1418",61,29,3000,1,1,"other",240000,187,72,420000
"1419",65,26,4000,1,0,"other",575000,183,80,1e+06
"1420",62,25,1000,1,1,"other",350000,192,87,464000
"1421",62,25,3000,1,0,"other",350000,185,69,534000
"1422",60,22,3000,1,0,"other",3e+05,185,74,585000
"1423",61,22,4000,1,1,"other",4e+05,166,60,740000
"1424",71,21,14000,1,1,"other",3700000,185,84,0
"1425",69,26,3000,1,0,"other",1100000,181,71,1600000
"1426",62,20,1000,1,1,"other",475000,178,75,736000
"1427",63,25,3000,1,0,"other",425000,188,72,733000
"1428",68,24,3000,1,1,"other",1e+06,187,76,2200000
"1429",60,19,1000,1,1,"other",450000,180,70,1e+06
"1430",48,19,1000,1,1,"other",50000,178,75,88000
"1431",68,24,10000,1,1,"Top_30",1100000,176,73,2600000
"1432",58,20,5000,1,1,"other",180000,182,81,342000
"1433",63,21,4000,1,1,"other",650000,176,70,1500000
"1434",63,21,6000,1,1,"other",650000,168,63,1400000
"1435",76,29,58000,2,1,"other",7500000,175,67,14300000
"1436",66,26,3000,1,1,"other",775000,178,67,1400000
"1437",63,23,2000,1,0,"other",5e+05,183,71,975000
"1438",62,32,4000,1,0,"other",190000,183,75,0
"1439",57,24,1000,1,1,"other",130000,183,79,172000
"1440",57,20,1000,1,1,"other",170000,174,64,4e+05
"1441",62,21,1000,1,1,"other",5e+05,185,79,775000
"1442",77,22,14000,1,0,"other",1.1e+07,184,80,18700000
"1443",72,18,4000,1,1,"other",6500000,171,62,13800000
"1444",63,20,2000,1,1,"other",750000,180,74,1500000
"1445",65,23,2000,1,1,"other",725000,175,66,1100000
"1446",58,20,1000,1,0,"other",250000,182,76,519000
"1447",69,26,5000,1,1,"other",1300000,180,70,1900000
"1448",50,18,1000,1,1,"other",60000,177,69,143000
"1449",65,30,3000,1,1,"other",5e+05,176,63,875000
"1450",64,31,3000,1,1,"other",350000,176,75,613000
"1451",64,25,4000,1,1,"other",575000,176,70,877000
"1452",94,32,565000,5,0,"Top_10",95500000,170,72,195800000
